time,gFx,gFy,gFz
2020-12-09 23:8:15.2360,-0.515,-0.374,-0.461,0.786
2020-12-09 23:8:15.2390,-0.555,-0.301,-0.249,0.679
2020-12-09 23:8:15.2490,-0.629,-0.207,-0.09,0.668
2020-12-09 23:8:15.2590,-0.698,-0.13,0.041,0.711
2020-12-09 23:8:15.2710,-0.762,-0.036,0.18,0.784
2020-12-09 23:8:15.2800,-0.837,0.102,0.295,0.893
2020-12-09 23:8:15.2900,-0.906,0.217,0.362,0.999
2020-12-09 23:8:15.3000,-0.916,0.318,0.428,1.06
2020-12-09 23:8:15.3350,-0.569,0.486,0.728,1.044
2020-12-09 23:8:15.3360,-0.569,0.486,0.728,1.044
2020-12-09 23:8:15.3360,-0.569,0.486,0.728,1.044
2020-12-09 23:8:15.3390,-0.465,0.567,0.714,1.023
2020-12-09 23:8:15.3490,-0.401,0.662,0.615,0.989
2020-12-09 23:8:15.3600,-0.379,0.733,0.458,0.944
2020-12-09 23:8:15.3710,-0.367,0.757,0.282,0.887
2020-12-09 23:8:15.3800,-0.356,0.719,0.069,0.805
2020-12-09 23:8:15.3910,-0.388,0.635,-0.153,0.76
2020-12-09 23:8:15.4010,-0.449,0.5,-0.39,0.777
2020-12-09 23:8:15.4350,-0.677,0.022,-0.932,1.152
2020-12-09 23:8:15.4350,-0.677,0.022,-0.932,1.152
2020-12-09 23:8:15.4360,-0.677,0.022,-0.932,1.152
2020-12-09 23:8:15.4400,-0.746,-0.108,-1.085,1.321
2020-12-09 23:8:15.4500,-0.758,-0.282,-1.409,1.625
2020-12-09 23:8:15.4600,-0.78,-0.402,-1.935,2.125
2020-12-09 23:8:15.4710,-0.784,-0.461,-2.471,2.633
2020-12-09 23:8:15.4810,-0.685,-0.576,-2.855,2.992
2020-12-09 23:8:15.4920,-0.55,-0.742,-3.066,3.202
2020-12-09 23:8:15.5020,-0.459,-0.939,-3.104,3.275
2020-12-09 23:8:15.5320,-0.579,-1.273,-2.41,2.786
2020-12-09 23:8:15.5320,-0.579,-1.273,-2.41,2.786
2020-12-09 23:8:15.5330,-0.579,-1.273,-2.41,2.786
2020-12-09 23:8:15.5420,-0.644,-1.212,-1.971,2.402
2020-12-09 23:8:15.5500,-0.609,-1.123,-1.445,1.929
2020-12-09 23:8:15.5600,-0.446,-1.045,-0.915,1.459
2020-12-09 23:8:15.5700,-0.252,-0.961,-0.439,1.086
2020-12-09 23:8:15.5810,-0.031,-0.921,-0.057,0.923
2020-12-09 23:8:15.5910,0.203,-0.925,0.192,0.966
2020-12-09 23:8:15.6010,0.402,-0.957,0.325,1.088
2020-12-09 23:8:15.6340,0.757,-1.028,0.032,1.277
2020-12-09 23:8:15.6340,0.757,-1.028,0.032,1.277
2020-12-09 23:8:15.6340,0.757,-1.028,0.032,1.277
2020-12-09 23:8:15.6400,0.83,-1.058,-0.091,1.348
2020-12-09 23:8:15.6500,0.845,-1.09,-0.178,1.391
2020-12-09 23:8:15.6600,0.804,-1.102,-0.23,1.383
2020-12-09 23:8:15.6710,0.695,-1.092,-0.266,1.321
